source_channel,video_title,comment_text,model_output
g4media479,"Ce variante de guvern au Nicușor Dan, Sorin Grindeanu și PSD","Ilie Bolojan a pierdut un vot în Parlament, dar a câștigat o țară întreagă. Mă refer la toți oamenii care muncesc corect în țara asta și care s-au săturat să fie mințiți de aceeași politicieni puși pe prăduirea banului public. Mă refer la toți cei care au fost nevoiți să plece peste hotare căutând un trai mai bun pentru familia lor, tocmai din cauza politicienilor care ne vor săraci și ușor de manipulat. Toți acești oameni au înțeles exact ce a făcut monstruoasa coaliție PSD-AUR și au reacționat incredibil atât în stradă, cât și pe rețelele sociale. PSD-AUR au dat jos un guvern tocmai pentru că are oameni care luptă pentru: 🔵 reforme conform valorilor europene; 🔵 reducerea rispei banului public; 🔵 eliminarea privilegiilor și sinecurilor; 🔵 și pentru modernizarea României. Astăzi, PSD trebuie să își asume răspunderea pentru aruncarea țării în haos. După votul din parlament, cred că nu mai este nevoie de prea multe consultări. Domnul Grindeanu trebuie să primească sarcina de a forma un guvern, alături de partenerii de la AUR, SOS, POT și cu toate celelalte partide cu ale căror valori se identifică astăzi conducerea PSD. Însă dacă domnul Grindeanu nu are curajul să își asume astăzi responsabilitatea de a forma un nou guvern, atunci cel care ar trebui să își dea demisia este tocmai domnul Grindeanu. Semeni vânt, culegi furtună.",
g4media479,"Ce variante de guvern au Nicușor Dan, Sorin Grindeanu și PSD","Mare rușine Nicușor Dan, nu pentru asta te-am votat , sa treci de partea PSD. L-ai înlăturat pe premier , URMEZI",
g4media479,"Ce variante de guvern au Nicușor Dan, Sorin Grindeanu și PSD","Nu mă pot aștepta la nimic bun ,de la președinte Mediator.Are dreptate dl.Cristian Tudor Popescu ,Tara a ajuns pe mana unor Gherlani !",
g4media479,"Ce variante de guvern au Nicușor Dan, Sorin Grindeanu și PSD",PNL și USR trebuie să reziste tentației de a se întoarce la guvernare,
g4media479,"România în liga mare a AI: tehnologie locală, folosită de Departamentul de Război din SUA","După publicarea acestui articol, publicația G4Media a fost acuzată că promovează un om care a fost neolegionar în urmă cu 20 de ani. Acuzațiile vin în urma unui articol publicat în PressOne. Menționăm că în centrul acestui articol nu se află omul George Bara, ci compania Zetta Critical AI, care este una dintre firmele românești selectate în cadrul proiectului ATLAS, finanțat inclusiv prin Fondul European de Apărare (EDF – European Defence Fund). Serviciile sale AI sunt folosite de instituțiile de forță din țară și din SUA în scopuri de apărare și securitate. L-am întrebat pe reprezentantul companiei cum răspunde acuzațiilor care i se aduc. Am primit răspuns de la fondatorul, acționarul majoritar și CEO-ul Zetta, Emil Ștețco: „Presupusele legături dintre activitatea Zetta și opiniile sau afinitățile ideologice ale unuia dintre acționari sunt nefondate. Activitățile invocate, pe care nu le comentăm aici, sunt anterioare intrării acestuia în acționariatul companiei, în 2016, precum și primului contract al companiei cu o instituție publică, în 2019. Zetta nu este un actor politic, nu promovează ideologii și nu desfășoară activități cu caracter politic. În spatele companiei se află o echipă de profesioniști, ingineri și cercetători, concentrați exclusiv pe dezvoltarea de tehnologii AI sigure, robuste și conforme cu legea. Întreaga activitate a Zetta este legală, transparentă în raport cu partenerii săi instituționali și desfășurată în cadrul contractual și normativ aplicabil. Compania respinge orice încercare de a transfera retroactiv asupra sa interpretări sau controverse care nu au legătură cu activitatea sa curentă.”",
g4media479,"România în liga mare a AI: tehnologie locală, folosită de Departamentul de Război din SUA",Ce ne poate spune invitatul dvs despre zvonurile legate de trecutul sau neolegionar?,
g4media479,Alegeri cruciale în Marea Britanie - discuție cu Petru Clej,40 de candidați la alegerile municipale din Londra sânt romani care sânt membrii al Partidului REFORM condus de Nigel Farage,
g4media479,Nicușor Dan: Vom avea un guvern pro-occidental într-un termen rezonabil. Exclud alegerile anticipate,Cum să stăm calmi când inflația a ajuns de nesuportat pentru românii de rând și euro crește pe zi ce trece ? După calmul pe care îl aveți cred că nu vă pasă de români ! V -am votat să nu ajungă președinte George Simion un extremist needucat și PSD la guvernare ! 😠😡😡😡,
g4media479,Nicușor Dan: Vom avea un guvern pro-occidental într-un termen rezonabil. Exclud alegerile anticipate,Nu înțelegi nimic amice esti in alta lume nu cunosti vointa poporului,
g4media479,Nicușor Dan: Vom avea un guvern pro-occidental într-un termen rezonabil. Exclud alegerile anticipate,Nu există guvern prooccidental. Există guvernul Romăniei. El reprezintă interesele poporului romăn.,
